"loan_id","investor_id","nama_event","created_at"
2,114,"investor_view_loan",2019-07-07 11:47:58
2,114,"investor_order_loan",2019-07-07 11:48:16
2,114,"investor_pay_loan",2019-07-07 13:14:39
133,114,"investor_view_loan",2019-08-13 10:42:48
133,114,"investor_order_loan",2019-08-13 10:44:24
133,114,"investor_pay_loan",2019-08-13 10:46:09
2693,8159,"investor_view_loan",2020-02-23 20:40:18
2693,8159,"investor_order_loan",2020-02-23 20:40:33
2693,8159,"investor_pay_loan",2020-02-23 21:18:51
6,163,"investor_view_loan",2019-07-08 16:40:31
6,163,"investor_order_loan",2019-07-08 16:42:03
6,163,"investor_pay_loan",2019-07-08 16:45:56
2769,11591,"investor_view_loan",2020-03-02 10:35:54
2769,11591,"investor_order_loan",2020-03-02 10:36:36
2769,11591,"investor_pay_loan",2020-03-02 11:17:16
1990,9972,"investor_view_loan",2020-01-28 21:29:11
1990,9972,"investor_order_loan",2020-01-28 21:30:14
1990,9972,"investor_pay_loan",2020-01-28 21:35:48
1660,5255,"investor_view_loan",2019-12-21 16:48:38
1660,5255,"investor_view_loan",2019-12-21 17:45:03
1660,5255,"investor_order_loan",2019-12-21 17:46:29
1660,5255,"investor_pay_loan",2019-12-21 19:07:10
1006,2231,"investor_view_loan",2019-11-06 13:19:29
1006,2231,"investor_order_loan",2019-11-06 13:21:35
1006,2231,"investor_pay_loan",2019-11-06 13:24:20
3156,12927,"investor_view_loan",2020-03-15 15:15:51
1534,7310,"investor_view_loan",2019-12-17 10:01:53
1534,7310,"investor_view_loan",2019-12-17 10:16:37
1534,7310,"investor_order_loan",2019-12-17 10:23:37
1534,7310,"investor_pay_loan",2019-12-17 11:52:02
2796,10927,"investor_view_loan",2020-02-26 19:30:41
2796,10927,"investor_order_loan",2020-02-26 19:36:25
2796,10927,"investor_pay_loan",2020-02-26 19:58:42
1003,5658,"investor_view_loan",2019-11-06 23:46:29
1003,5658,"investor_order_loan",2019-11-06 23:46:59
1003,5658,"investor_pay_loan",2019-11-07 00:04:19
760,5629,"investor_view_loan",2019-10-20 10:04:06
760,5629,"investor_order_loan",2019-10-20 10:04:20
760,5629,"investor_pay_loan",2019-10-20 12:38:03
1843,5611,"investor_view_loan",2020-01-12 08:38:43
1843,5611,"investor_order_loan",2020-01-12 08:40:49
1843,5611,"investor_pay_loan",2020-01-12 08:44:06
1271,8086,"investor_view_loan",2019-11-25 17:41:12
1271,8086,"investor_order_loan",2019-11-25 17:50:17
1271,8086,"investor_pay_loan",2019-11-25 18:24:50
1070,2800,"investor_view_loan",2019-11-08 19:02:08
1070,2800,"investor_order_loan",2019-11-08 19:02:44
1070,2800,"investor_pay_loan",2019-11-08 19:04:34
1452,1809,"investor_view_loan",2019-12-10 13:25:28
1452,1809,"investor_order_loan",2019-12-10 13:26:22
1452,1809,"investor_pay_loan",2019-12-10 13:53:34
39,898,"investor_view_loan",2019-07-24 09:44:01
39,898,"investor_order_loan",2019-07-24 09:46:54
39,898,"investor_pay_loan",2019-07-24 10:05:15
831,3713,"investor_view_loan",2019-10-26 11:01:31
831,3713,"investor_order_loan",2019-10-26 11:02:52
831,3713,"investor_pay_loan",2019-10-26 11:04:43
29,936,"investor_view_loan",2019-07-18 17:49:05
29,936,"investor_order_loan",2019-07-18 17:49:19
29,936,"investor_pay_loan",2019-07-18 19:49:39
1585,5754,"investor_view_loan",2019-12-19 17:09:49
1585,5754,"investor_order_loan",2019-12-19 17:11:00
1585,5754,"investor_pay_loan",2019-12-19 17:37:35
23,989,"investor_view_loan",2019-07-19 14:10:43
23,989,"investor_order_loan",2019-07-19 14:22:08
23,989,"investor_pay_loan",2019-07-19 15:23:58
1252,5787,"investor_view_loan",2019-11-17 13:27:20
1252,5787,"investor_order_loan",2019-11-17 13:27:48
1252,5787,"investor_pay_loan",2019-11-17 13:30:34
2473,11173,"investor_view_loan",2020-02-18 11:08:53
2473,11173,"investor_order_loan",2020-02-18 11:09:34
2473,11173,"investor_pay_loan",2020-02-18 11:11:25
588,1809,"investor_view_loan",2019-10-01 15:20:29
588,1809,"investor_order_loan",2019-10-01 15:22:13
588,1809,"investor_pay_loan",2019-10-01 16:43:01
232,2861,"investor_view_loan",2019-08-18 16:32:08
232,2861,"investor_order_loan",2019-08-18 16:33:31
232,2861,"investor_pay_loan",2019-08-18 19:02:35
